ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.035,0.035,20.017,20.017,C:\Users\wsh\AppData\Local\Temp\ipykernel_2156\3377779507.py:79(fx)
1274,12.773,0.010,12.773,0.010,{method 'read' of 'cv2.VideoCapture' objects}
1274,6.920,0.005,6.920,0.005,{waitKey}
1274,0.004,0.000,0.237,0.000,D:\Smoke\SmokeDetectionMasterPython\utils\general.py:925(imshow)
1274,0.226,0.000,0.226,0.000,{imshow}
1274,0.051,0.000,0.051,0.000,{putText}
1274,0.007,0.000,0.007,0.000,{method 'encode' of 'str' objects}
1275,0.001,0.000,0.001,0.000,{built-in method time.time}
1274,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.print}
2,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\ipykernel\iostream.py:624(write)
2,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\ipykernel\iostream.py:546(_schedule_flush)
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\ipykernel\iostream.py:258(schedule)
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\zmq\sugar\socket.py:621(send)
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\threading.py:1133(is_alive)
2,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\ipykernel\iostream.py:519(_is_master_process)
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\threading.py:1066(_wait_for_tstate_lock)
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\site-packages\ipykernel\iostream.py:137(_event_pipe)
2,0.000,0.000,0.000,0.000,{built-in method nt.getpid}
1,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1,0.000,0.000,0.000,0.000,D:\conda_home\envs\yolov5-master\lib\threading.py:536(is_set)
2,0.000,0.000,0.000,0.000,{method 'write' of '_io.StringIO' objects}
2,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{method 'append' of 'collections.deque' objects}
2,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
2,0.000,0.000,0.000,0.000,{built-in method builtins.len}


